tiempo_s,Vpv_V,Ipv_A,Ppv_W,D,Vref_V,G_Wm2
0.157000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.158000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.159000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.160000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.161000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.162000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.163000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.164000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.165000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.166000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.167000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.168000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.169000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.170000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.171000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.172000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.173000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.174000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.175000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.176000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.177000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.178000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.179000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.180000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.181000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.182000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.183000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.184000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.185000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.186000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.187000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.188000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.189000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.190000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.191000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.192000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.193000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.194000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.195000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.196000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.197000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.198000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.199000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.200000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.201000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.202000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.203000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.204000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.205000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.206000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.207000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.208000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.209000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.210000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.211000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.212000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.213000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.214000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.215000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.216000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.217000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.218000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.219000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.220000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.221000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.222000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.223000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.224000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.225000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.226000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.227000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.228000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.229000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.230000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.231000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.232000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.233000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.234000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.235000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.236000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.237000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.238000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.239000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.240000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.241000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.242000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.243000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.244000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.245000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.246000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.247000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.248000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.249000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.250000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.251000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.252000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.253000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.254000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.255000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.256000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.257000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.258000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.259000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.260000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.261000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.262000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.263000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.264000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.265000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.266000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.267000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.268000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.269000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.270000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.271000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.272000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.273000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.274000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.275000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.276000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.277000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.278000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.279000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.280000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.281000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.282000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.283000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.284000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.285000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.286000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.287000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.288000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.289000,18.591683,4.539726,84.401147,0.245748,18.102051,1000.000000
0.290000,18.591683,0.347711,6.464530,0.245748,18.102051,100.000000
0.291000,18.038775,0.398200,7.183031,0.245748,18.102051,100.000000
0.292000,17.669515,0.419277,7.408416,0.245748,18.102051,100.000000
0.293000,17.785094,0.413499,7.354123,0.245748,18.102051,100.000000
0.294000,17.977100,0.402286,7.231939,0.245748,18.102051,100.000000
0.295000,18.117574,0.392595,7.112876,0.245748,18.102051,100.000000
0.296000,18.180337,0.387804,7.050408,0.245748,18.102051,100.000000
0.297000,18.187214,0.387260,7.043172,0.245748,18.102051,100.000000
0.298000,18.170521,0.388573,7.060577,0.245748,18.102051,100.000000
0.299000,18.152694,0.389951,7.078661,0.245748,18.102051,100.000000
0.300000,18.142430,0.390734,7.088857,0.288381,17.061091,100.000000
0.301000,18.053281,0.397201,7.170778,0.288381,17.061091,100.000000
0.302000,16.523417,0.451596,7.461905,0.289109,17.061091,100.000000
0.303000,15.339614,0.463058,7.103137,0.289109,17.061091,100.000000
0.304000,15.632631,0.461143,7.208874,0.289121,17.061091,100.000000
0.305000,16.979137,0.442805,7.518455,0.289121,17.061091,100.000000
0.306000,18.329955,0.375085,6.875284,0.289121,17.061091,100.000000
0.307000,18.766183,0.325092,6.100734,0.289121,17.061091,100.000000
0.308000,17.771669,0.414205,7.361121,0.289121,17.061091,100.000000
0.309000,16.156093,0.456424,7.374035,0.289121,17.061091,100.000000
0.310000,15.271591,0.463450,7.077612,0.289121,17.061091,100.000000
0.311000,15.883403,0.459132,7.292574,0.289121,17.061091,100.000000
0.312000,17.334062,0.432708,7.500588,0.289121,17.061091,100.000000
0.313000,18.547363,0.352861,6.544647,0.289121,17.061091,100.000000
0.314000,18.653546,0.340132,6.344672,0.289121,17.061091,100.000000
0.315000,17.394267,0.430616,7.490250,0.289121,17.061091,100.000000
0.316000,15.809523,0.459766,7.268682,0.289121,17.061091,100.000000
0.317000,15.291097,0.463339,7.084965,0.289121,17.061091,100.000000
0.318000,16.202943,0.455893,7.386803,0.289121,17.061091,100.000000
0.319000,17.691888,0.418210,7.398927,0.289121,17.061091,100.000000
0.320000,18.706917,0.333212,6.233378,0.289121,17.061091,100.000000
0.321000,18.442696,0.364161,6.716114,0.289121,17.061091,100.000000
0.322000,16.995903,0.442403,7.519040,0.289121,17.061091,100.000000
0.323000,15.535516,0.461823,7.174662,0.289121,17.061091,100.000000
0.324000,15.404422,0.462669,7.127141,0.289121,17.061091,100.000000
0.325000,16.563872,0.450959,7.469623,0.289121,17.061091,100.000000
0.326000,18.023504,0.399236,7.195626,0.289121,17.061091,100.000000
0.327000,18.786290,0.322227,6.053448,0.289121,17.061091,100.000000
0.328000,18.147373,0.390358,7.083981,0.289121,17.061091,100.000000
0.329000,16.587328,0.450578,7.473892,0.289121,17.061091,100.000000
0.330000,15.353732,0.462975,7.108393,0.289121,17.061091,100.000000
0.331000,15.603337,0.461353,7.198651,0.289121,17.061091,100.000000
0.332000,16.944330,0.443620,7.516840,0.289121,17.061091,100.000000
0.333000,18.311980,0.376716,6.898419,0.289121,17.061091,100.000000
0.334000,18.771768,0.324302,6.087713,0.289121,17.061091,100.000000
0.335000,17.790661,0.413204,7.351179,0.289121,17.061091,100.000000
0.336000,16.172852,0.456237,7.378647,0.289121,17.061091,100.000000
0.337000,15.271788,0.463448,7.077687,0.289121,17.061091,100.000000
0.338000,15.874146,0.459213,7.289619,0.289121,17.061091,100.000000
0.339000,17.325241,0.433004,7.501904,0.289121,17.061091,100.000000
0.340000,18.543926,0.353251,6.550658,0.289121,17.061091,100.000000
0.341000,18.656584,0.339749,6.338560,0.289121,17.061091,100.000000
0.342000,17.399448,0.430430,7.489246,0.289121,17.061091,100.000000
0.343000,15.813023,0.459737,7.269830,0.289121,17.061091,100.000000
0.344000,15.290223,0.463344,7.084636,0.289121,17.061091,100.000000
0.345000,16.200170,0.455925,7.386057,0.289121,17.061091,100.000000
0.346000,17.689729,0.418314,7.399860,0.289121,17.061091,100.000000
0.347000,18.706412,0.333280,6.234468,0.289121,17.061091,100.000000
0.348000,18.443878,0.364040,6.714315,0.289121,17.061091,100.000000
0.349000,16.997319,0.442369,7.519083,0.289121,17.061091,100.000000
0.350000,15.536164,0.461819,7.174894,0.289121,17.061095,100.000000
0.351000,15.403969,0.462671,7.126974,0.289121,17.061095,100.000000
0.352000,16.563083,0.450971,7.469477,0.289121,17.061095,100.000000
0.353000,18.022995,0.399270,7.196037,0.289121,17.061095,100.000000
0.354000,18.786283,0.322228,6.053465,0.289121,17.061095,100.000000
0.355000,18.147779,0.390327,7.083576,0.289121,17.061095,100.000000
0.356000,16.587729,0.450572,7.473964,0.289121,17.061095,100.000000
0.357000,15.353832,0.462974,7.108430,0.289121,17.061095,100.000000
0.358000,15.603160,0.461355,7.198588,0.289121,17.061095,100.000000
0.359000,16.944107,0.443625,7.516828,0.289121,17.061095,100.000000
0.360000,18.311863,0.376727,6.898567,0.289121,17.061095,100.000000
0.361000,18.771808,0.324296,6.087618,0.289121,17.061095,100.000000
0.362000,17.790797,0.413197,7.351107,0.289121,17.061095,100.000000
0.363000,16.172976,0.456235,7.378681,0.289121,17.061095,100.000000
0.364000,15.271797,0.463448,7.077690,0.289121,17.061095,100.000000
0.365000,15.874081,0.459214,7.289598,0.289121,17.061095,100.000000
0.366000,17.325174,0.433007,7.501914,0.289121,17.061095,100.000000
0.367000,18.543900,0.353254,6.550704,0.289121,17.061095,100.000000
0.368000,18.656614,0.339745,6.338500,0.289121,17.061095,100.000000
0.369000,17.399501,0.430428,7.489236,0.289121,17.061095,100.000000
0.370000,15.813064,0.459737,7.269844,0.289121,17.061095,100.000000
0.371000,15.290220,0.463344,7.084635,0.289121,17.061095,100.000000
0.372000,16.200142,0.455925,7.386049,0.289121,17.061095,100.000000
0.373000,17.689704,0.418315,7.399871,0.289121,17.061095,100.000000
0.374000,18.706407,0.333280,6.234479,0.289121,17.061095,100.000000
0.375000,18.443900,0.364038,6.714281,0.289121,17.061095,100.000000
0.376000,16.997349,0.442368,7.519084,0.289121,17.061095,100.000000
0.377000,15.536184,0.461819,7.174901,0.289121,17.061095,100.000000
0.378000,15.403958,0.462671,7.126970,0.289121,17.061095,100.000000
0.379000,16.563064,0.450972,7.469474,0.289121,17.061095,100.000000
0.380000,18.022983,0.399271,7.196047,0.289121,17.061095,100.000000
0.381000,18.786283,0.322228,6.053466,0.289121,17.061095,100.000000
0.382000,18.147789,0.390327,7.083566,0.289121,17.061095,100.000000
0.383000,16.587738,0.450572,7.473966,0.289121,17.061095,100.000000
0.384000,15.353834,0.462974,7.108431,0.289121,17.061095,100.000000
